Index,Product_Registration,month,Number_Recordings,File_Hours,ITS_Version,AWC,Turn_Count,Child_Voc_Count,CHN,Child_Voc_Duration,Child_NonVoc_Duration,FAN_Word_Count,FAN,FAN_NonVoc_Duration,MAN_Word_Count,MAN,MAN_NonVoc_Duration,CXN,OLN,TVN,NON,SIL,subj
1,102-000437,06,1,16,4.6.0,14097,377,1213,1958.42,871.4,916.46,8833.45,2310.05,2310.05,5263.37,1499.26,1499.26,1280.74,8916.8,4273.99,482.21,26359.49,794
2,102-000437,07,1,16,4.6.0,13989,294,865,1310.43,613.7,586.36,7784.48,2076.13,2076.13,6204.71,1741.72,1741.72,895.21,9174.44,1522.32,956.4,26022.2,794
3,102-000437,06,1,16,4.6.0,21133,373,1064,1849.86,884.23,778.54,16025.81,4121.86,4121.86,5107.6,1661.59,1661.59,1341.97,6014.13,3928.48,20988.08,4427.07,294
4,102-000437,07,1,16,4.6.0,21351,488,1211,1491.21,915.7,385.48,17498.06,4512,4512,3853.02,1230.62,1230.62,1304.1,5820.49,1226.06,26107.5,5441.46,294
5,102-000437,06,1,16,4.6.0,19391,374,1217,1670.45,944.09,600.44,17234.75,4566.99,4566.99,2156.83,563.19,563.19,3838.95,3330.39,2001.08,1018.16,29920.89,126
6,102-000437,07,1,16,4.6.0,13477,173,731,916.8,539.8,323.25,10820.8,3047.33,3047.33,2655.76,751.09,751.09,3911.43,5452.62,1072.79,213.33,29164,126
7,102-000437,06,1,11.86,4.6.0,20516,502,1347,2407.29,969.02,1144.98,19482.29,4734.02,4734.02,1034.13,296.04,296.04,1758.2,7543.8,1786.44,442.81,14422.86,255
8,102-000437,07,1,12.42,4.6.0,22114,379,906,1879.18,666.87,1036.37,19884.72,4960.84,4960.84,2229.11,626.22,626.22,1034.76,7752.21,4388.81,611.86,11502.96,255
9,102-000437,06,1,11.36,4.6.0,31620,476,1226,2041.48,1192.38,750.76,20488.7,5127.83,5127.83,11131.24,2941.27,2941.27,1347.42,6142.78,7311.97,1377.71,2999.59,465
10,102-000437,07,1,16,4.6.0,8497,158,545,624.2,447.22,141.05,6285.69,1775.93,1775.93,2210.93,587.73,587.73,747.49,2467.58,12984.56,1294.88,31033.06,465
11,102-000437,06,1,16,4.6.0,15578,391,1247,2181.77,1188.45,807.42,8516.33,2331.19,2331.19,7062.1,1823.84,1823.84,788.31,4685.92,1159.69,25873.34,8167.95,357
12,102-000437,07,1,16,4.6.0,31198,648,2309,3949.85,1940.48,1519.45,15508.02,3916.06,3916.06,15690.23,3687.5,3687.5,1308.32,5386.26,450.79,2595.36,25799.43,357
13,102-000437,06,1,16,4.6.0,27696,281,949,1468.61,940.21,368.08,15829.37,3959.42,3959.42,11866.13,3130.17,3130.17,101.71,3352.03,6333.48,8843.68,15054.6,521
14,102-000437,07,1,16,4.6.0,22839,281,1145,1690.78,1234.99,374.17,10999.85,2820.61,2820.61,11838.98,3656.84,3656.84,138.08,7594.86,8731.82,14491.76,2839.1,521
15,102-000437,06,1,16,4.6.0,15675,636,2598,3479.4,2159.39,1024.81,9510.24,2380.72,2380.72,6164.57,1423.83,1423.83,640.77,7398.31,910,1335.61,27976.5,274
16,102-000437,07,1,16,4.6.0,11538,414,1500,3017.64,1340.31,1407.71,8864.77,2425.98,2425.98,2673.18,783,783,528.63,4327.87,1703.4,2791.68,29969.85,274
17,102-000437,06,1,11.98,4.6.0,18245,531,1649,4216.62,1703.61,2235.04,15510.83,4211.99,4211.99,2734.89,731.89,731.89,1623.1,6075.08,1620.27,807.97,9815.93,828
18,102-000437,07,1,12.89,4.6.0,21710,701,1899,2540.12,1679.23,677.7,18930.15,4901.07,4901.07,2780.19,710.97,710.97,3089.48,8558.57,35.89,584.86,15436.38,828
19,102-000437,06,2,12.36,4.6.0,30652,280,826,1090.96,635.47,288.25,13538.67,3432.51,3432.51,17113.49,4331.63,4331.63,304.51,5080.14,1403.34,1481.38,13859.22,309
20,102-000437,06,2,12.36,4.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.99,309
21,102-000437,07,1,12.47,4.6.0,25786,542,1805,2430.3,1525.02,600.54,10756.23,2765.43,2765.43,15030.47,3667.44,3667.44,458.17,5682.98,1609.45,776.52,12820.83,309
22,102-000437,06,2,16,4.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,749
23,102-000437,06,2,16,4.6.0,24053,513,1134,1907.35,891.46,851.53,16421.71,4265.71,4265.71,7631.38,1880.3,1880.3,795.3,9066.24,4248.75,947.68,23040.42,749
24,102-000437,07,1,16,4.6.0,44620,635,1317,1981.69,994.98,741.65,31601.75,8146.82,8146.82,13018.34,3242.96,3242.96,966.26,7767.87,2402.23,1780.52,18589.54,749
25,102-000437,06,1,11.53,4.6.0,9566,170,636,1093.43,407.5,505.19,4763.13,1268.14,1268.14,4802.79,1335.85,1335.85,2292.58,6529.02,976.31,754.6,16219.53,623
26,102-000437,07,1,12.01,4.6.0,11656,271,985,1408.56,813.6,506.48,8684.68,2123.67,2123.67,2972.16,661.83,661.83,2344.59,9645.76,2942.05,591.01,16059.35,623
27,102-000437,06,1,16,4.6.0,16218,317,1340,2389.55,939.21,1188.35,14645.85,4049.29,4049.29,1572.37,459.82,459.82,2506.9,9757.1,4916.09,1131.39,15370.23,279
28,102-000437,07,1,16,4.6.0,15403,229,1577,2211.45,1207.02,703.17,12592.76,3189.13,3189.13,2809.87,797.8,797.8,704.63,7201.02,5069.44,1398.91,23105.41,279
29,102-000437,06,1,16,4.6.0,22698,511,2038,4020.94,1584.76,1869.82,11011.17,2717.69,2717.69,11686.41,2811.05,2811.05,2539.87,4842.36,3514.6,648.94,22864.4,626
30,102-000437,07,1,16,4.6.0,17137,499,2799,5140.65,2450.37,2029.26,13830.73,3504.12,3504.12,3306.24,797.63,797.63,2841.13,5113.41,2102.3,699,23173.01,626
31,102-000437,06,1,16,4.6.0,13973,504,2029,2666.76,1414.59,787.67,11267.16,2978.16,2978.16,2706.29,715.18,715.18,1248.61,2783.58,4805.02,23820.67,6997.37,664
32,102-000437,07,1,16,4.6.0,24356,311,817,865.82,622.65,162.27,18444.71,4546.75,4546.75,5911.66,1352.18,1352.18,1632.42,3252.13,5736.36,25687.47,6065.17,664
33,102-000437,06,1,16,4.6.0,17421,531,1378,2244.08,1067.03,976.56,11627.37,3102.47,3102.47,5793.28,1510.04,1510.04,479.02,7193.66,937.92,4932.92,24765.08,129
34,102-000437,07,1,16,4.6.0,22547,488,1054,1750.12,774.51,851.65,18794.5,4599.98,4599.98,3752.98,960.98,960.98,1128.09,8195.5,6032.23,1423.89,24749.88,129
35,102-000437,06,1,14.33,4.6.0,27282,702,2196,3593.73,1771.64,1326.45,18917.21,4625.39,4625.39,8364.75,2045.56,2045.56,1899.99,6746.27,1503.68,3837.69,19091.67,860
36,102-000437,07,1,12.7,4.6.0,30196,504,1292,2340.9,1110.79,1069.33,24575.13,6091.9,6091.9,5620.26,1389.8,1389.8,1824.42,9786.79,2369.16,554.86,11070.72,860
37,102-000437,06,1,11.91,4.6.0,19601,397,1210,1400.97,737.28,341.5,18037.54,4758.71,4758.71,1563.7,404.46,404.46,567.62,2828.06,1663.23,918.88,19799.77,378
38,102-000437,07,1,10.93,4.6.0,21647,419,1142,1364.58,745.77,423.32,18356.29,4963.47,4963.47,3290.15,860.39,860.39,1214.37,3170.25,1319.89,1108.7,12301.88,378
39,102-000437,06,1,16,4.6.0,18344,203,604,1398.12,486.11,857.15,9325.78,2309.49,2309.49,9017.79,2367.24,2367.24,486.6,7949.13,6715.8,884.88,16389.5,109
