month,onset,offset,onset_500,offset_500,object,FemaleAdult,MaleAdult,Child,Electronic,Overlap,FirstPass,subj
6,30962140,30965820,30961640,30966320,monkey,NA,NA,NA,NA,NA,NA,255
6,33981170,33982450,33980670,33982950,car,NA,NA,NA,NA,NA,NA,255
6,36452200,36453870,36451700,36454370,car,NA,NA,NA,NA,NA,NA,255
6,36688870,36691170,36688370,36691670,car,NA,NA,NA,NA,NA,NA,255
6,37777770,37778730,37777270,37779230,car,NA,NA,NA,NA,NA,NA,255
6,39474310,39476420,39473810,39476920,puppy,NA,NA,NA,NA,NA,NA,255
6,39474310,39476420,39473810,39476920,baby,NA,NA,NA,NA,NA,NA,255
6,39800720,39801820,39800220,39802320,froggy,NA,NA,NA,x,NA,NA,255
6,40937800,40944080,40937300,40944580,bath,NA,NA,NA,NA,NA,NA,255
6,41040250,41041050,41039750,41041550,big+shrimp,NA,NA,NA,NA,NA,NA,255
6,42004140,42005350,42003640,42005850,sticky+up+hair,NA,NA,NA,NA,NA,NA,255
7,22075040,22076040,22074540,22076540,jelly,NA,NA,NA,NA,NA,NA,255
7,25953060,25956880,25952560,25957380,head,NA,NA,NA,NA,NA,NA,255
7,28073950,28075110,28073450,28075610,chicken+patties,NA,NA,NA,NA,NA,NA,255
7,30741320,30741930,30740820,30742430,ribbers,NA,NA,NA,NA,NA,NA,255
7,31208840,31210280,31208340,31210780,glasses,NA,NA,NA,NA,NA,NA,255
7,31491520,31493560,31491020,31494060,chicken+noodle+soups,NA,NA,NA,NA,NA,NA,255
7,31564980,31566390,31564480,31566890,front+door,NA,NA,NA,NA,NA,NA,255
7,31657210,31665240,31656710,31665740,beach,NA,NA,NA,NA,NA,NA,255
7,31657210,31665240,31656710,31665740,pavilions,NA,NA,NA,NA,NA,NA,255
7,31657210,31665240,31656710,31665740,pavilions,NA,NA,NA,NA,NA,NA,255
7,31852360,31855540,31851860,31856040,garlic,NA,NA,NA,NA,NA,NA,255
7,31877670,31880590,31877170,31881090,garlic,NA,NA,NA,NA,NA,NA,255
7,31884440,31885660,31883940,31886160,kale,NA,NA,NA,NA,NA,NA,255
7,35043070,35044070,35042570,35044570,bunion,NA,NA,NA,NA,NA,NA,255
7,35373230,35374530,35372730,35375030,shoulders,NA,NA,NA,NA,NA,NA,255
7,35373230,35374530,35372730,35375030,knees,NA,NA,NA,NA,NA,NA,255
7,35421690,35422710,35421190,35423210,hands,NA,NA,NA,NA,NA,NA,255
7,35462940,35463940,35462440,35464440,hands,NA,NA,NA,NA,NA,NA,255
7,35471110,35472380,35470610,35472880,eyes,NA,NA,NA,NA,NA,NA,255
7,35561520,35562520,35561020,35563020,toes,NA,NA,NA,NA,NA,NA,255
7,35561520,35562520,35561020,35563020,knees,NA,NA,NA,NA,NA,NA,255
